student_id,gender,math_score,science_score,english_score,overall_score,final_grade
1,male,42.7,55.4,57.0,53.1,e
2,female,57.6,68.8,64.8,61.3,d
3,female,84.8,95.0,79.2,89.6,b
4,other,44.4,27.5,54.7,41.6,e
5,female,8.9,32.7,30.0,25.4,f
6,male,51.5,78.3,63.9,63.5,d
7,female,41.9,29.4,39.2,39.1,f
8,female,56.7,60.1,53.4,69.6,d
9,other,54.1,59.5,38.3,55.2,d
10,female,71.9,70.4,81.3,69.6,d
11,female,75.4,82.7,70.8,77.5,c
12,other,62.0,54.7,58.0,65.0,d
13,female,75.1,80.5,56.2,73.6,c
14,other,33.6,26.8,50.0,42.5,e
15,other,88.1,66.1,70.3,69.3,d
16,other,66.4,76.9,76.1,73.7,c
17,other,63.1,46.3,57.1,53.5,e
18,female,57.2,50.5,54.1,49.8,e
19,male,38.7,69.9,58.3,59.2,d
20,female,49.9,53.9,60.4,61.9,d
21,male,84.9,77.6,77.6,81.3,c
22,female,76.7,31.9,39.3,55.0,d
23,other,41.3,35.2,19.9,33.5,f
24,female,100.0,100.0,100.0,94.6,b
25,male,38.9,31.2,57.3,41.4,e
26,male,100.0,87.7,69.3,92.5,b
27,other,94.6,92.8,86.9,82.5,c
28,other,42.9,89.9,63.4,75.4,c
29,female,40.5,44.5,68.1,45.1,e
30,other,76.1,73.5,71.7,82.6,c
31,other,79.6,86.0,95.4,90.4,b
32,female,79.3,82.5,77.4,77.1,c
33,male,94.5,72.1,84.8,78.8,c
34,other,60.5,57.4,72.9,62.2,d
35,female,39.8,39.6,36.5,46.9,e
36,other,93.1,99.8,100.0,90.4,b
37,other,45.9,43.5,35.0,42.0,e
38,female,82.4,73.5,61.7,79.0,c
39,female,53.5,67.4,61.7,66.5,d
40,male,78.1,70.0,63.8,65.4,d
41,other,72.8,72.5,100.0,88.7,b
42,male,42.8,58.2,60.1,53.9,e
43,female,31.4,36.4,29.0,23.7,f
44,female,76.4,56.2,56.4,63.6,d
45,male,37.5,35.0,54.0,42.3,e
46,female,77.3,94.5,88.0,83.5,c
47,other,42.4,29.9,53.9,48.7,e
48,male,85.1,100.0,100.0,96.3,a
49,male,31.5,26.9,32.6,37.5,f
50,male,86.6,91.1,100.0,95.9,a
51,male,66.9,66.7,82.8,76.2,c
52,male,87.1,78.6,99.8,90.4,b
53,female,77.9,80.5,79.9,77.0,c
54,other,95.8,93.3,85.2,88.4,b
55,other,91.9,85.6,100.0,92.5,b
56,other,39.3,25.2,39.2,39.5,f
57,other,83.4,81.5,79.5,86.2,b
58,female,67.8,81.5,67.3,76.9,c
59,other,39.8,40.9,59.9,41.1,e
60,male,51.3,48.7,53.4,46.2,e
61,other,69.7,61.7,53.0,65.1,d
62,male,78.9,63.1,83.9,85.8,b
63,other,76.1,61.2,76.7,77.4,c
64,male,62.7,65.5,47.6,54.9,e
65,male,84.1,83.3,88.2,80.9,c
66,female,32.1,28.5,38.0,39.2,f
